GCC,Clang,DaCe,Polygeist + MLIR,DCIR
10.565011,9.148484,11.499149,14.966037,12.681778
10.845208,9.049557,11.533169,15.048005,12.624097
10.594953,9.142844,11.544931,14.961475,12.587545
10.524418,9.104980,11.449575,14.969616,12.788738
10.522223,9.139518,11.446649,14.937785,13.13744
10.544049,9.140946,11.448115,14.888880,13.14294
10.575014,9.052166,11.412571,14.952306,13.150094
10.571811,9.077644,11.441956,14.859551,13.151437
10.580011,9.154168,11.448849,14.968617,13.143991
10.994654,9.090361,11.445713,14.778073,13.138848
