GCC,Clang,DaCe,Polygeist + MLIR,DCIR
12.940996,11.740811,11.460921,15.185254,11.575679
12.567502,11.571389,11.256272,14.833789,11.536467
12.777852,11.674306,11.212842,15.109977,11.557676
12.676857,11.606631,11.132908,15.236818,11.519677
12.671540,11.623979,11.281788,15.234238,11.536282
12.521552,11.467296,14.457037,15.041695,11.483593
12.522279,11.605977,10.988494,15.183914,11.495644
12.440126,11.531541,10.926404,15.066913,11.487095
12.433377,11.571239,10.775332,15.010279,11.485055
12.796075,12.173186,10.764307,15.221472,11.495488
