GCC,Clang,DaCe,Polygeist + MLIR,DCIR
25.380695,28.673829,27.004824,33.217397,35.106428
25.320411,36.209816,27.001151,32.564669,24.802003
25.585472,33.749570,27.040900,33.761264,24.651205
25.582575,34.295935,27.099274,32.862035,24.564425
25.409511,34.242827,26.977840,32.110092,24.763023
25.317137,33.050687,26.974068,32.144753,24.999601
25.338241,33.286829,26.979990,32.034291,24.738853
25.311804,33.541061,26.980951,33.030689,24.605648
25.337342,34.179918,26.980675,32.674248,24.685546
25.312567,33.981492,26.988465,32.475696,24.630209
