GCC,Clang,DaCe,Polygeist + MLIR,DCIR
14.580641,13.684637,16.919727,19.305757,17.252412
14.382898,13.412676,13.384154,18.318934,16.001533
15.055431,13.418498,13.221056,18.354957,16.111161
14.913480,13.350460,13.240898,19.765855,16.120066
13.986583,13.449341,13.217668,18.328305,16.234037
15.209127,14.350036,13.246888,18.334532,15.999834
14.065163,13.364347,13.163273,19.826357,16.014566
14.019573,13.344822,13.269897,18.338972,16.008744
15.202658,13.455929,13.358615,18.294380,15.956231
15.141186,14.904298,13.260027,18.408817,16.212849
