GCC,Clang,DaCe,Polygeist + MLIR,DCIR
15.213689,14.922340,16.823195,19.756392,17.847394
15.190198,13.341008,13.176911,20.004605,16.450414
15.161441,14.071454,13.161935,19.518250,16.518612
14.767772,14.001106,13.129428,20.076427,16.49346
15.242895,14.121580,12.966424,18.876990,16.487955
15.186822,14.209698,13.001808,19.994307,16.551143
14.083655,14.162508,12.992617,19.877841,16.577154
14.647437,13.237987,12.994809,19.975726,16.552683
15.068288,13.324697,12.957342,19.861484,16.552806
14.946365,14.594201,13.013952,19.805011,16.522226
