GCC,Clang,DaCe,Polygeist + MLIR,DCIR
1219.211000,1550.993000,378.768,716.259000,0.214
1217.985000,1535.722000,378.589,716.222000,0.05
1223.520000,1538.063000,378.630,716.234000,0.022
1282.662000,1538.450000,378.585,716.213000,0.021
1240.859000,1527.400000,378.548,716.221000,0.022
1242.729000,1547.170000,378.565,716.207000,0.023
1238.574000,1540.763000,378.587,716.232000,0.02
1244.343000,1540.893000,378.554,716.211000,0.021
1237.572000,1541.295000,378.574,716.329000,0.022
1238.373000,1540.552000,378.570,716.216000,0.019
