GCC,Clang,DaCe,Polygeist + MLIR,DCIR
580.064000,592.369000,572.261,931.298000,599.58
596.391000,576.084000,570.483,931.271000,597.954
579.519000,576.228000,570.480,934.385000,598.016
607.265000,592.159000,570.223,932.428000,598.08
577.916000,584.486000,570.252,931.341000,598.01
577.861000,579.430000,570.247,931.213000,596.082
578.078000,593.539000,570.292,931.430000,592.327
578.293000,575.295000,570.383,931.243000,592.468
596.948000,592.287000,570.455,931.431000,592.514
578.135000,576.264000,570.243,931.215000,592.521
